client_id,churn_probability
653029,0.9999951
118276,0.9999951
1202467,0.99999464
903162,0.99999464
123016,0.99999464
700521,0.9999938
1220366,0.9999938
81752,0.9999938
1856033,0.9999938
106421,0.9999938
1559577,0.9999938
622338,0.9999938
1275604,0.9999938
1031139,0.9999938
1169368,0.9999932
2191554,0.9999932
1662917,0.9999932
2272518,0.9999932
650491,0.9999932
2237325,0.9999932
133945,0.9999927
1355783,0.9999927
256771,0.9999924
575715,0.9999924
340631,0.999992
771819,0.9999919
1850731,0.9999919
481242,0.9999919
2171034,0.9999919
1050741,0.9999919
1581274,0.9999919
857264,0.9999919
385699,0.9999918
1798019,0.9999918
1163076,0.9999918
1516782,0.99999166
1710047,0.99999166
2154437,0.99999166
130680,0.99999154
2078930,0.99999154
250199,0.9999914
31099,0.9999914
2002910,0.9999914
1626714,0.9999914
632414,0.9999914
518414,0.9999914
1756155,0.9999914
441976,0.9999914
289234,0.9999914
1105448,0.9999914
1925042,0.9999914
2051219,0.9999914
1455425,0.9999914
1097214,0.9999914
1758140,0.9999914
167395,0.9999914
1424763,0.9999914
827716,0.9999914
1154403,0.9999914
712159,0.9999914
1297512,0.9999914
640800,0.9999914
1508992,0.9999914
1347852,0.9999914
2187795,0.9999914
1080406,0.9999914
1811297,0.9999914
2213940,0.9999914
690704,0.9999914
942357,0.9999914
1546286,0.9999914
156300,0.9999914
1513829,0.9999914
936332,0.9999914
240833,0.9999914
1174644,0.9999913
625776,0.9999913
1195460,0.9999913
1969486,0.9999913
2087529,0.9999913
536672,0.9999913
2130873,0.9999913
1146101,0.9999913
1535975,0.9999913
1559914,0.9999913
1780462,0.9999913
1525677,0.9999913
2241757,0.9999913
1063874,0.9999913
658104,0.9999913
631244,0.9999913
2025370,0.9999913
1916506,0.9999913
1118660,0.9999912
557926,0.9999912
568544,0.9999912
300375,0.99999106
1451246,0.99999106
597654,0.99999106
295414,0.99999106
1427685,0.99999106
706195,0.99999106
1522144,0.99999106
290562,0.99999106
1060933,0.99999106
2092972,0.99999106
2244623,0.99999106
1007185,0.99999106
2111170,0.99999106
2243196,0.99999106
2187298,0.99999106
1541093,0.99999106
1727999,0.99999106
1664902,0.99999106
2108715,0.99999106
2102817,0.99999106
2198997,0.99999106
772623,0.99999106
865756,0.99999106
1757150,0.99999106
2050416,0.99999106
44252,0.99999106
1224683,0.99999106
1606787,0.99999106
502930,0.99999106
636078,0.99999106
495520,0.99999106
696805,0.99999106
1892930,0.99999106
1289748,0.99999106
2013222,0.99999106
1577892,0.99999106
1493484,0.99999106
469006,0.99999106
720048,0.99999106
1865894,0.99999106
710183,0.99999106
252997,0.99999106
1857541,0.99999106
1899282,0.99999106
1748425,0.99999106
2072339,0.99999106
1744752,0.99999106
1548071,0.99999106
205225,0.99999106
881140,0.99999106
542669,0.99999106
880791,0.99999106
589405,0.99999094
2193348,0.99999094
1284060,0.99999094
340929,0.99999094
791467,0.99999094
1170317,0.99999094
1292230,0.99999094
1845041,0.99999094
591667,0.99999094
860069,0.99999094
1569113,0.99999094
332772,0.99999094
720335,0.99999094
2005455,0.99999094
2119271,0.99999094
1995289,0.99999094
585673,0.99999094
2215026,0.99999094
873232,0.99999094
1620753,0.99999094
2254153,0.99999094
1231315,0.99999094
221473,0.99999094
1558774,0.99999094
717859,0.99999094
1155025,0.99999094
2195612,0.99999094
2091024,0.99999094
283577,0.99999094
1965436,0.99999094
1340830,0.99999094
1244113,0.99999094
2037068,0.99999094
1664789,0.99999094
535872,0.99999094
353760,0.99999094
308932,0.99999094
963506,0.99999094
614760,0.99999094
604020,0.99999094
1478969,0.99999094
980742,0.99999094
172508,0.99999094
2135960,0.99999094
1742973,0.99999094
975512,0.99999094
605603,0.99999094
1750487,0.99999094
987107,0.99999094
976133,0.99999094
1043148,0.99999094
981498,0.99999094
163244,0.99999094
411620,0.9999908
194706,0.9999908
636991,0.9999908
2193714,0.9999908
1410782,0.9999908
819968,0.9999908
2153004,0.9999908
1607427,0.9999908
1503925,0.9999907
1523952,0.9999907
873707,0.9999907
1790521,0.9999907
2074751,0.9999907
188747,0.9999907
1784458,0.9999907
194783,0.9999907
1160696,0.9999907
1017671,0.9999907
1543642,0.9999907
1871306,0.9999907
1738809,0.9999907
359557,0.9999907
1340701,0.9999906
348282,0.9999906
1849589,0.9999906
655842,0.9999906
2215385,0.9999906
672819,0.9999906
1149875,0.9999906
508016,0.9999906
2195690,0.9999906
1840180,0.9999906
1538511,0.9999906
1657340,0.9999906
847895,0.9999906
297387,0.9999906
503252,0.9999906
1125651,0.9999906
2092637,0.9999906
615831,0.9999906
2088536,0.9999906
58489,0.9999906
2041523,0.9999906
1962031,0.9999906
547625,0.9999906
669048,0.9999906
1114088,0.9999906
960122,0.9999906
936056,0.9999906
668722,0.9999906
109489,0.9999906
1108419,0.9999906
864880,0.9999906
491629,0.9999906
956578,0.9999906
206833,0.9999906
741986,0.9999906
472613,0.9999906
1858085,0.9999906
1758994,0.9999906
1757079,0.9999906
540472,0.9999906
309856,0.9999906
1693733,0.9999906
1899259,0.9999906
659951,0.9999906
1035196,0.9999906
1497540,0.9999906
48138,0.9999906
343301,0.9999906
641457,0.9999906
1534499,0.9999906
216173,0.9999906
884316,0.9999906
238900,0.9999906
1325627,0.9999906
874876,0.9999906
1299796,0.9999906
1492083,0.9999906
733268,0.99999046
2197319,0.99999046
1564297,0.99999046
1857222,0.99999046
924176,0.99999046
163114,0.99999046
1859107,0.99999046
1647616,0.99999046
884332,0.99999046
349658,0.99999046
1573354,0.99999034
100543,0.99999034
1244992,0.99999034
425153,0.99999034
1976737,0.99999034
732339,0.99999034
749939,0.99999034
1571815,0.99999034
1133429,0.99999034
1735945,0.99999034
1818356,0.99999034
2130439,0.99999034
498616,0.99999034
1540158,0.99999034
416977,0.99999034
752470,0.99999034
1509734,0.99999034
1590633,0.99999034
571519,0.99999034
1647762,0.99999034
1275868,0.99999034
90120,0.99999034
1999187,0.99999034
1103476,0.99999034
2241668,0.99999034
1771720,0.99999034
895592,0.99999034
696396,0.99999034
563783,0.99999034
1277733,0.99999034
1057992,0.99999034
1295824,0.99999034
283836,0.99999034
1832063,0.99999034
94377,0.9999902
509644,0.9999902
89907,0.9999902
509008,0.9999902
798480,0.9999902
1645413,0.9999902
1978142,0.9999902
2237137,0.9999902
554147,0.9999902
550656,0.9999902
1234189,0.9999902
1854120,0.9999902
525016,0.9999902
375538,0.9999902
1825211,0.9999902
561136,0.9999902
1256570,0.9999902
1528200,0.9999902
766067,0.9999902
1944654,0.9999902
278458,0.9999902
662917,0.9999902
130554,0.9999902
236948,0.9999902
487595,0.9999902
1500847,0.9999902
267503,0.9999902
906633,0.9999902
1022523,0.9999902
814382,0.9999902
63604,0.9999902
1541853,0.9999902
1766968,0.9999902
1894003,0.9999902
1121219,0.9999902
2005151,0.9999902
295899,0.9999902
590840,0.9999901
353990,0.9999901
544758,0.9999901
1953347,0.9999901
619781,0.9999901
422984,0.9999901
1853815,0.9999901
246755,0.9999901
1373286,0.9999901
1610620,0.9999901
25090,0.9999901
1120899,0.9999901
1214572,0.9999901
700892,0.9999901
656741,0.99999
1774597,0.99999
1687554,0.99999
923265,0.99999
1920933,0.99998987
956400,0.99998987
1760080,0.99998987
334550,0.99998987
190589,0.99998987
1642537,0.99998987
1633336,0.99998987
2121463,0.99998987
2154822,0.99998987
279860,0.99998987
1712456,0.99998987
877293,0.99998987
776763,0.99998987
2160786,0.99998987
640436,0.99998987
517490,0.99998987
1499271,0.99998987
2069308,0.99998987
70302,0.99998987
600485,0.99998987
1549913,0.99998987
1599600,0.99998987
1817025,0.99998987
818274,0.99998987
1849350,0.99998987
482017,0.99998987
1990461,0.99998987
1592036,0.99998987
1112846,0.99998987
1804011,0.99998987
494115,0.99998987
772145,0.99998987
1789450,0.99998987
299165,0.99998987
1120652,0.99998987
2084783,0.99998987
173164,0.99998987
1130100,0.99998987
654359,0.99998987
769910,0.99998987
1896166,0.99998987
2029347,0.99998987
1441186,0.99998987
1021683,0.99998987
674274,0.99998987
2114132,0.99998987
1664399,0.99998987
51166,0.99998987
864757,0.99998987
1087416,0.99998987
1536808,0.99998987
459346,0.99998987
317237,0.99998975
1497177,0.99998975
1218551,0.99998975
639187,0.99998975
26518,0.99998975
1762143,0.99998975
787572,0.99998975
1925363,0.99998975
1867189,0.99998975
2033309,0.99998975
1997760,0.99998975
1204351,0.99998975
236686,0.99998975
1889903,0.99998975
933643,0.99998975
937933,0.99998975
1327443,0.99998975
1503461,0.99998975
630661,0.99998975
137265,0.99998975
2210310,0.99998975
1800714,0.99998975
667865,0.99998975
1171991,0.99998975
1099467,0.99998975
204406,0.99998975
1711770,0.99998975
1821839,0.99998975
1049823,0.99998975
2128633,0.99998975
562177,0.99998975
1114064,0.99998975
883934,0.99998975
2146834,0.99998975
361196,0.99998975
1651037,0.99998975
619846,0.99998975
1653829,0.99998975
420527,0.99998975
1151198,0.99998975
1901780,0.99998975
1821285,0.99998975
549705,0.99998975
414688,0.99998975
1527277,0.99998975
436956,0.99998975
578016,0.99998975
1636575,0.99998975
2195676,0.99998975
1712055,0.99998975
386867,0.99998975
1405931,0.99998975
559818,0.99998975
890642,0.99998975
1137231,0.9999896
1910664,0.9999896
2066288,0.9999896
2064513,0.9999896
2191147,0.9999896
1344906,0.9999896
1952014,0.9999896
1387835,0.9999896
2126852,0.9999896
102143,0.9999896
653487,0.9999896
960462,0.9999896
1236050,0.9999896
1159986,0.9999896
2047854,0.9999896
1774624,0.9999896
969200,0.9999896
1090125,0.9999896
830620,0.9999896
435550,0.9999896
96531,0.9999896
419163,0.9999896
1120582,0.9999896
1714610,0.9999896
459226,0.9999896
2237631,0.9999896
1436010,0.9999896
19590,0.9999896
318647,0.9999896
1132318,0.9999896
553854,0.9999896
2021046,0.9999896
78353,0.9999896
432967,0.9999896
1129124,0.9999895
58448,0.9999895
1008334,0.9999895
918598,0.9999895
2049402,0.9999895
716479,0.9999895
650840,0.9999895
869931,0.9999895
823338,0.9999895
979427,0.9999895
510892,0.9999895
1923548,0.9999895
263871,0.9999894
574811,0.9999894
2243871,0.9999894
225058,0.9999894
159083,0.9999894
1279166,0.9999894
2099955,0.9999894
580540,0.9999894
1532413,0.9999894
406160,0.9999894
1860300,0.9999894
834492,0.9999894
1286096,0.9999894
1865573,0.9999894
204173,0.9999894
980694,0.9999894
1856062,0.9999894
881813,0.9999894
1382258,0.9999894
53754,0.9999894
276433,0.9999894
949720,0.9999894
1853343,0.9999894
2075386,0.9999894
1625803,0.9999894
1477716,0.9999894
777662,0.9999894
1371518,0.9999894
946405,0.9999894
2044843,0.9999894
1287474,0.9999894
1057428,0.9999894
1629738,0.9999894
555329,0.9999894
1343742,0.9999894
1242957,0.9999894
654248,0.9999894
327247,0.9999894
1005116,0.9999894
1173146,0.9999894
946386,0.9999893
1287599,0.9999893
2125134,0.9999893
216875,0.9999893
128413,0.9999893
187361,0.9999893
18975,0.9999893
1045824,0.9999893
2117840,0.9999893
186315,0.9999893
1043869,0.9999893
1722600,0.9999893
16338,0.9999893
1313316,0.9999893
2004806,0.9999893
868754,0.9999893
1248596,0.9999893
935428,0.9999893
774577,0.9999893
251085,0.9999893
2253356,0.9999893
730508,0.9999893
1233784,0.9999893
50554,0.9999893
429454,0.9999893
418089,0.9999893
2167192,0.9999893
1394352,0.9999893
618088,0.9999893
1806077,0.9999893
2165493,0.9999893
2160112,0.9999893
732754,0.9999893
2225820,0.9999893
714074,0.9999893
1411822,0.9999893
492443,0.9999893
722146,0.9999893
1265101,0.9999893
262575,0.9999893
2058995,0.9999893
1996360,0.9999893
2097269,0.9999893
1594161,0.9999893
1174949,0.9999893
1164925,0.9999893
1370527,0.99998915
1984662,0.99998915
1548715,0.99998915
1565745,0.99998915
1897618,0.99998915
145633,0.99998915
1524393,0.99998915
1480179,0.99998915
1427799,0.99998915
1426868,0.99998915
1890434,0.99998915
815902,0.99998915
19339,0.99998915
134832,0.99998915
378926,0.99998915
468509,0.99998915
1090388,0.99998915
1862605,0.99998915
104245,0.99998915
1731101,0.99998915
1863002,0.99998915
1863979,0.99998915
1731574,0.99998915
1735217,0.99998915
1600974,0.99998915
2185225,0.99998915
106998,0.99998915
618349,0.99998915
622962,0.99998915
257294,0.99998915
652186,0.99998915
1197511,0.99998915
2069613,0.99998915
537566,0.99998915
915641,0.99998915
1049798,0.99998915
756798,0.99998915
1709616,0.99998915
1151459,0.99998915
1821618,0.99998915
2199676,0.99998915
209903,0.99998915
279443,0.99998915
4145,0.99998915
85677,0.99998915
1315551,0.99998915
1680490,0.99998915
2101898,0.99998915
255378,0.99998915
572192,0.99998915
1881301,0.99998915
2007831,0.99998915
960647,0.99998915
2273849,0.99998915
335819,0.99998915
953797,0.99998915
27864,0.99998915
857983,0.99998915
951347,0.99998915
1584096,0.99998915
1777299,0.99998903
1528097,0.99998903
1329965,0.99998903
1326926,0.99998903
489530,0.99998903
1128390,0.99998903
20666,0.99998903
413416,0.99998903
1458150,0.99998903
1981756,0.99998903
778697,0.99998903
1595224,0.99998903
2159728,0.99998903
682031,0.99998903
1481291,0.99998903
1412241,0.99998903
1084907,0.99998903
1873740,0.99998903
819492,0.99998903
1689849,0.99998903
1605084,0.99998903
1305633,0.99998903
1072832,0.9999889
